"Pos","No.","Name","Laps","Class","Best Tm","In Lap","Diff","Make/Model","Color","Sponsor","Points","Total Tm"
"1","316","Steve Dunn","11","GTS3","1:54.527","2","","Porsche Boxster","White/Blue/Green","Cervelli Technical Service M96 Dry Sump","100","21:13.023"
"2","36","Daniel Williams","11","GTS3","1:54.391","2","1.057","BMW M3","Grey/Black","Driving Force Motorsports","90","21:14.080"
"3","56","Dan Goodman","11","GTS3","1:55.904","2","15.719","BMW M3","Blue-Black","Hoosier / Hawk / BimmerWorld / VAC","85","21:28.742"
"4","15","Jason Perry","11","Super Touring 1","1:56.360","9","43.013","Chevy  Corvette","Black","JDP Racing Dill Petroleum","100","21:56.036"
"5","11","Sean Butterfield","11","Super Touring 1","1:56.566","5","43.456","Chevrolet Corvette","Gold","Dill Petroleum","90","21:56.479"
"6","95","Brian Weldon","11","GTS4","1:58.661","4","53.314","BMW  M3","Black","SCR Performance","100","22:06.337"
"7","96","Benjamin Councill","11","Corvette Cup","2:00.372","2","1:32.047","Chevrolet Corvette C5","Red","","100","22:45.070"
"8","23","Phillip Isabel","11","Super Touring 3","2:01.483","8","1:33.224","BMW M3","Blue","Quality One Dent","100","22:46.247"
"9","87","Justin Wilson","11","GTS3","2:02.403","8","1:33.663","Porsche Cayman","White","","80","22:46.686"
"10","11","Matthew Kasuda","10","CMC","2:12.010","3","1 Lap","Chevrolet Camaro","Dark Blue","","100","23:07.316"
"11","77","Randy English","5","CMC","2:09.682","1","6 Laps","Chev Camaro","Red","RER Racing","90","11:52.813"
"12","65","Joe Bogetich","5","GT","2:23.847","1","6 Laps","Chevrolet Camaro","Red","Bogie Motorsports","100","13:29.174"
